label,mode,stake,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
PROB s=0.03 p=0.62 mo=5.0,SIMPLE,0.03,0.62,5.0,1514,66.8,-1.62,70.0,-65.0,71.8,5,1.49,-0.905,-3.34
PROB s=0.03 p=0.62 mo=None,SIMPLE,0.03,0.62,,1514,66.8,-1.62,70.0,-65.0,71.8,5,1.49,-0.905,-3.34
PROB s=0.03 p=0.65 mo=2.0,SIMPLE,0.03,0.65,2.0,1240,68.3,-1.19,116.9,-41.5,60.1,5,1.46,-0.691,-3.381
PROB s=0.03 p=0.65 mo=3.0,SIMPLE,0.03,0.65,3.0,1240,68.3,-1.19,116.9,-41.5,60.1,5,1.46,-0.691,-3.381
PROB s=0.03 p=0.65 mo=5.0,SIMPLE,0.03,0.65,5.0,1240,68.3,-1.19,116.9,-41.5,60.1,5,1.46,-0.691,-3.381
PROB s=0.03 p=0.65 mo=None,SIMPLE,0.03,0.65,,1240,68.3,-1.19,116.9,-41.5,60.1,5,1.46,-0.691,-3.381
PROB s=0.03 p=0.7 mo=2.0,SIMPLE,0.03,0.7,2.0,881,71.2,0.54,230.0,15.0,39.3,5,1.42,0.381,2.222
PROB s=0.03 p=0.7 mo=3.0,SIMPLE,0.03,0.7,3.0,881,71.2,0.54,230.0,15.0,39.3,5,1.42,0.381,2.222
PROB s=0.03 p=0.7 mo=5.0,SIMPLE,0.03,0.7,5.0,881,71.2,0.54,230.0,15.0,39.3,5,1.42,0.381,2.222
PROB s=0.03 p=0.7 mo=None,SIMPLE,0.03,0.7,,881,71.2,0.54,230.0,15.0,39.3,5,1.42,0.381,2.222
PROB s=0.05 p=0.5 mo=2.0,SIMPLE,0.05,0.5,2.0,2873,61.5,-1.87,-106.2,-153.1,145.0,5,1.64,-9999.0,-9999.0
PROB s=0.05 p=0.5 mo=3.0,SIMPLE,0.05,0.5,3.0,2963,61.2,-1.45,-76.7,-138.3,131.5,7,1.66,-9999.0,-9999.0
PROB s=0.05 p=0.5 mo=5.0,SIMPLE,0.05,0.5,5.0,2963,61.2,-1.45,-76.7,-138.3,131.5,7,1.66,-9999.0,-9999.0
PROB s=0.05 p=0.5 mo=None,SIMPLE,0.05,0.5,,2963,61.2,-1.45,-76.7,-138.3,131.5,7,1.66,-9999.0,-9999.0
PROB s=0.05 p=0.55 mo=2.0,SIMPLE,0.05,0.55,2.0,2407,64.0,-0.4,106.3,-46.9,81.3,5,1.59,-0.576,-0.581
PROB s=0.05 p=0.55 mo=3.0,SIMPLE,0.05,0.55,3.0,2407,64.0,-0.4,106.3,-46.9,81.3,5,1.59,-0.576,-0.581
PROB s=0.05 p=0.55 mo=5.0,SIMPLE,0.05,0.55,5.0,2407,64.0,-0.4,106.3,-46.9,81.3,5,1.59,-0.576,-0.581
PROB s=0.05 p=0.55 mo=None,SIMPLE,0.05,0.55,,2407,64.0,-0.4,106.3,-46.9,81.3,5,1.59,-0.576,-0.581
PROB s=0.05 p=0.58 mo=2.0,SIMPLE,0.05,0.58,2.0,2048,64.8,-1.35,-30.3,-115.1,114.6,5,1.55,-9999.0,-9999.0
PROB s=0.05 p=0.58 mo=3.0,SIMPLE,0.05,0.58,3.0,2048,64.8,-1.35,-30.3,-115.1,114.6,5,1.55,-9999.0,-9999.0
PROB s=0.05 p=0.58 mo=5.0,SIMPLE,0.05,0.58,5.0,2048,64.8,-1.35,-30.3,-115.1,114.6,5,1.55,-9999.0,-9999.0
PROB s=0.05 p=0.58 mo=None,SIMPLE,0.05,0.58,,2048,64.8,-1.35,-30.3,-115.1,114.6,5,1.55,-9999.0,-9999.0
PROB s=0.05 p=0.6 mo=2.0,SIMPLE,0.05,0.6,2.0,1788,65.8,-1.58,-46.5,-123.2,118.8,5,1.52,-9999.0,-9999.0
PROB s=0.05 p=0.6 mo=3.0,SIMPLE,0.05,0.6,3.0,1788,65.8,-1.58,-46.5,-123.2,118.8,5,1.52,-9999.0,-9999.0
PROB s=0.05 p=0.6 mo=5.0,SIMPLE,0.05,0.6,5.0,1788,65.8,-1.58,-46.5,-123.2,118.8,5,1.52,-9999.0,-9999.0
PROB s=0.05 p=0.6 mo=None,SIMPLE,0.05,0.6,,1788,65.8,-1.58,-46.5,-123.2,118.8,5,1.52,-9999.0,-9999.0
PROB s=0.05 p=0.62 mo=2.0,SIMPLE,0.05,0.62,2.0,1514,66.8,-2.03,-39.0,-119.5,119.0,5,1.49,-9999.0,-9999.0
PROB s=0.05 p=0.62 mo=3.0,SIMPLE,0.05,0.62,3.0,1514,66.8,-2.03,-39.0,-119.5,119.0,5,1.49,-9999.0,-9999.0
PROB s=0.05 p=0.62 mo=5.0,SIMPLE,0.05,0.62,5.0,1514,66.8,-2.03,-39.0,-119.5,119.0,5,1.49,-9999.0,-9999.0
