label,mode,stake,edge,prob,max_odds,bets,wr,roi,final_bk,growth,drawdown,lose_str,avg_odds,score,score2
S s=0.01 e=0.03 p=0.6 mo=None,SIMPLE,0.01,0.03,0.6,,624,68.8,5.18,268.9,34.4,8.6,4,1.53,3.986,30.466
S s=0.01 e=0.03 p=0.65 mo=2.0,SIMPLE,0.01,0.03,0.65,2.0,517,68.1,1.68,217.4,8.7,10.1,4,1.5,0.863,9.443
S s=0.01 e=0.03 p=0.65 mo=3.0,SIMPLE,0.01,0.03,0.65,3.0,517,68.1,1.68,217.4,8.7,10.1,4,1.5,0.863,9.443
S s=0.01 e=0.03 p=0.65 mo=None,SIMPLE,0.01,0.03,0.65,,517,68.1,1.68,217.4,8.7,10.1,4,1.5,0.863,9.443
S s=0.01 e=0.05 p=0.5 mo=2.0,SIMPLE,0.01,0.05,0.5,2.0,216,63.9,-1.57,193.3,-3.4,11.2,4,1.55,-0.216,-7.499
S s=0.01 e=0.05 p=0.5 mo=3.0,SIMPLE,0.01,0.05,0.5,3.0,218,63.8,-1.51,193.5,-3.3,11.2,4,1.56,-0.211,-7.225
S s=0.01 e=0.05 p=0.5 mo=None,SIMPLE,0.01,0.05,0.5,,218,63.8,-1.51,193.5,-3.3,11.2,4,1.56,-0.211,-7.225
S s=0.01 e=0.05 p=0.55 mo=2.0,SIMPLE,0.01,0.05,0.55,2.0,216,63.9,-1.57,193.3,-3.4,11.2,4,1.55,-0.216,-7.499
S s=0.01 e=0.05 p=0.55 mo=3.0,SIMPLE,0.01,0.05,0.55,3.0,216,63.9,-1.57,193.3,-3.4,11.2,4,1.55,-0.216,-7.499
S s=0.01 e=0.05 p=0.55 mo=None,SIMPLE,0.01,0.05,0.55,,216,63.9,-1.57,193.3,-3.4,11.2,4,1.55,-0.216,-7.499
S s=0.01 e=0.05 p=0.6 mo=2.0,SIMPLE,0.01,0.05,0.6,2.0,207,65.2,-0.13,199.5,-0.3,11.2,4,1.54,-0.017,-0.616
S s=0.01 e=0.05 p=0.6 mo=3.0,SIMPLE,0.01,0.05,0.6,3.0,207,65.2,-0.13,199.5,-0.3,11.2,4,1.54,-0.017,-0.616
S s=0.01 e=0.05 p=0.6 mo=None,SIMPLE,0.01,0.05,0.6,,207,65.2,-0.13,199.5,-0.3,11.2,4,1.54,-0.017,-0.616
S s=0.01 e=0.05 p=0.65 mo=2.0,SIMPLE,0.01,0.05,0.65,2.0,193,64.2,-2.73,189.5,-5.2,12.9,4,1.52,-0.262,-12.528
